question,answer
What does 'apple' mean?,تفاح
What does 'book' mean?,كتاب
What does 'computer' mean?,حاسوب
What does 'house' mean?,منزل
What does 'car' mean?,سيارة
What does 'dog' mean?,كلب
What does 'cat' mean?,قط
What does 'water' mean?,ماء
What does 'school' mean?,مدرسة
What does 'tree' mean?,شجرة
What does 'chair' mean?,كرسي
What does 'table' mean?,طاولة
What does 'phone' mean?,هاتف
What does 'pen' mean?,قلم
What does 'notebook' mean?,دفتر
What does 'shirt' mean?,قميص
What does 'shoe' mean?,حذاء
What does 'hat' mean?,قبعة
What does 'bag' mean?,حقيبة
What does 'window' mean?,نافذة
What does 'door' mean?,باب
What does 'roof' mean?,سقف
What does 'floor' mean?,أرضية
What does 'bed' mean?,سرير
What does 'lamp' mean?,مصباح
What does 'television' mean?,تلفاز
What does 'keyboard' mean?,لوحة مفاتيح
What does 'mouse' mean?,ماوس
What does 'television' mean?,تلفاز
What does 'refrigerator' mean?,ثلاجة
What does 'oven' mean?,فرن
What does 'sink' mean?,حوض
What does 'cup' mean?,فنجان
What does 'plate' mean?,طبق
What does 'spoon' mean?,ملعقة
What does 'fork' mean?,شوكة
What does 'knife' mean?,سكين
What does 'bookstore' mean?,مكتبة
What does 'restaurant' mean?,مطعم
What does 'hospital' mean?,مستشفى
What does 'bank' mean?,بنك
What does 'post office' mean?,مكتب البريد
What does 'supermarket' mean?,سوبرماركت
What does 'park' mean?,حديقة
What does 'library' mean?,مكتبة
What does 'museum' mean?,متحف
What does 'cinema' mean?,سينما
What does 'theater' mean?,مسرح
What does 'gym' mean?,صالة رياضية
What does 'swimming pool' mean?,مسبح
What does 'beach' mean?,شاطئ
What does 'mountain' mean?,جبل
What does 'river' mean?,نهر
What does 'lake' mean?,بحيرة
What does 'forest' mean?,غابة
What does 'desert' mean?,صحراء
What does 'field' mean?,حقل
What does 'farm' mean?,مزرعة
What does 'city' mean?,مدينة
What does 'village' mean?,قرية
What does 'town' mean?,بلدة
What does 'countryside' mean?,ريف
What does 'country' mean?,دولة
What does 'continent' mean?,قارة
What does 'planet' mean?,كوكب
What does 'star' mean?,نجم
What does 'moon' mean?,قمر
What does 'sun' mean?,شمس
What does 'cloud' mean?,سحاب
What does 'rain' mean?,مطر
What does 'snow' mean?,ثلج
What does 'wind' mean?,ريح
What does 'storm' mean?,عاصفة
What does 'weather' mean?,طقس
What does 'temperature' mean?,درجة حرارة
What does 'season' mean?,فصل
What does 'spring' mean?,ربيع
What does 'summer' mean?,صيف
What does 'autumn' mean?,خريف
What does 'winter' mean?,شتاء
What does 'holiday' mean?,عطلة
What does 'vacation' mean?,إجازة
What does 'celebration' mean?,احتفال
What does 'birthday' mean?,عيد ميلاد
What does 'anniversary' mean?,ذكرى سنوية
What does 'gift' mean?,هدية
What does 'party' mean?,حفلة
What does 'invitation' mean?,دعوة
What does 'card' mean?,بطاقة
What does 'message' mean?,رسالة
What does 'letter' mean?,رسالة
What does 'email' mean?,بريد إلكتروني
What does 'phone call' mean?,مكالمة هاتفية
What does 'text message' mean?,رسالة نصية
What does 'address' mean?,عنوان
What does 'contact' mean?,جهة اتصال
What does 'number' mean?,رقم
What does 'date' mean?,تاريخ
What does 'time' mean?,وقت
What does 'hour' mean?,ساعة
What does 'minute' mean?,دقيقة
What does 'second' mean?,ثانية
What does 'morning' mean?,صباح
What does 'afternoon' mean?,بعد الظهر
What does 'evening' mean?,مساء
What does 'night' mean?,ليل
What does 'breakfast' mean?,فطور
What does 'lunch' mean?,غداء
What does 'dinner' mean?,عشاء
What does 'snack' mean?,وجبة خفيفة
What does 'drink' mean?,مشروب
What does 'food' mean?,طعام
What does 'fruit' mean?,فاكهة
What does 'vegetable' mean?,خضار
What does 'meat' mean?,لحم
What does 'fish' mean?,سمك
What does 'bread' mean?,خبز
What does 'cake' mean?,كيك
What does 'cookie' mean?,بسكويت
What does 'ice cream' mean?,آيس كريم
What does 'chocolate' mean?,شوكولاتة
What does 'sugar' mean?,سكر
What does 'salt' mean?,ملح
What does 'pepper' mean?,فلفل
What does 'oil' mean?,زيت
What does 'vinegar' mean?,خل
What does 'butter' mean?,زبدة
What does 'cheese' mean?,جبن
What does 'yogurt' mean?,زبادي
What does 'milk' mean?,حليب
